Order_ID,Order_Date,Customer_ID,Gender,City,State,Country,Product_ID,Product_Name,Category,Quantity,Unit_Price,Discount,Sales,Profit,Payment_Method,Ship_Date,Ship_Mode,Order_Status,Year,Month_Name,Month_NO,Profit_Margin
1,01-01-2023,CUST3895,Male,Pune,Maharashtra,India,PROD244,Charger,Electronics,1,5392,5,5122.4,565.85,Credit Card,06-01-2023,Express,Delivered,2023,January,1,11.04657973
2,01-01-2023,CUST9444,Male,Kolkata,West Bengal,India,PROD768,Backpack,Fashion,3,21958,10,59286.6,9184.07,Debit Card,06-01-2023,Express,Shipped,2023,January,1,15.49097098
3,01-01-2023,CUST5415,Female,Ahmedabad,Gujarat,India,PROD634,Mobile,Electronics,3,39253,5,111871.05,27257.64,Credit Card,03-01-2023,Standard,Delivered,2023,January,1,24.36523122
4,01-01-2023,CUST1542,Female,Bengaluru,Karnataka,India,PROD487,Notebook,Stationery,1,32597,15,27707.45,2326.49,Credit Card,03-01-2023,Standard,Delivered,2023,January,1,8.396622569
5,01-01-2023,CUST1015,Male,Bengaluru,Karnataka,India,PROD296,Charger,Electronics,1,19682,20,15745.6,2086.41,Credit Card,04-01-2023,Same Day,Shipped,2023,January,1,13.25074942
6,01-01-2023,CUST5409,Female,Hyderabad,Telangana,India,PROD266,Refrigerator,Electronics,2,49035,20,78456,12157.53,UPI,02-01-2023,Same Day,Cancelled,2023,January,1,15.49598501
7,01-01-2023,CUST2214,Male,Ahmedabad,Gujarat,India,PROD828,Washing Machine,Electronics,2,4239,15,7206.3,1738.93,Credit Card,03-01-2023,Express,Returned,2023,January,1,24.1306912
8,01-01-2023,CUST5059,Female,Hyderabad,Telangana,India,PROD815,Notebook,Stationery,2,33429,20,53486.4,4171.58,UPI,05-01-2023,Standard,Returned,2023,January,1,7.799328427
9,01-01-2023,CUST8676,Male,Delhi,Delhi,India,PROD196,Shoes,Fashion,4,42959,20,137468.8,16805.86,Debit Card,06-01-2023,Express,Returned,2023,January,1,12.22521765
10,01-01-2023,CUST9798,Male,Bengaluru,Karnataka,India,PROD589,Notebook,Stationery,3,16036,20,38486.4,4668.64,UPI,04-01-2023,Express,Cancelled,2023,January,1,12.13062277
11,01-01-2023,CUST3518,Male,Delhi,Delhi,India,PROD806,Washing Machine,Electronics,3,29138,0,87414,20836.65,UPI,07-01-2023,Express,Cancelled,2023,January,1,23.8367424
12,01-01-2023,CUST6813,Male,Delhi,Delhi,India,PROD110,Refrigerator,Electronics,1,23006,5,21855.7,3150.02,UPI,07-01-2023,Standard,Shipped,2023,January,1,14.41280764
13,01-01-2023,CUST6006,Female,Pune,Maharashtra,India,PROD312,Washing Machine,Electronics,1,33473,15,28452.05,2202.96,Cash on Delivery,05-01-2023,Same Day,Shipped,2023,January,1,7.742710982
14,01-01-2023,CUST8493,Male,Hyderabad,Telangana,India,PROD969,Charger,Electronics,4,22240,15,75616,14541.33,UPI,07-01-2023,Standard,Shipped,2023,January,1,19.23049355
15,01-01-2023,CUST5752,Male,Mumbai,Maharashtra,India,PROD334,Laptop,Electronics,2,34453,0,68906,16780.93,Net Banking,06-01-2023,Same Day,Cancelled,2023,January,1,24.35336545
16,01-01-2023,CUST6588,Female,Kolkata,West Bengal,India,PROD148,Mobile,Electronics,2,28935,15,49189.5,5310.1,UPI,07-01-2023,Standard,Returned,2023,January,1,10.79519003
17,01-01-2023,CUST6716,Female,Chennai,Tamil Nadu,India,PROD662,Power Bank,Electronics,1,49461,15,42041.85,3005.94,Credit Card,02-01-2023,Standard,Returned,2023,January,1,7.14987566
18,01-01-2023,CUST9667,Male,Hyderabad,Telangana,India,PROD599,Laptop,Electronics,3,23516,20,56438.4,5922.03,Net Banking,05-01-2023,Same Day,Returned,2023,January,1,10.49290908
